t,acc
0,-5.178
0.01,-4.768
0.02,-4.29
0.03,-3.864
0.04,-3.595
0.05,-3.53
0.06,-3.646
0.07,-3.871
0.08,-4.532
0.09,-4.636
0.1,-4.654
0.11,-4.575
0.12,-4.41
0.13,-4.204
0.14,-4.029
0.15,-3.948
0.16,-4.162
0.17,-4.181
0.18,-4.144
0.19,-4.128
0.2,-4.226
0.21,-4.469
0.22,-4.784
0.23,-5.011
0.24,-4.087
0.25,-3.515
0.26,-3.179
0.27,-3.229
0.28,-3.64
0.29,-4.221
0.3,-4.703
0.31,-4.862
0.32,-3.454
0.33,-2.979
0.34,-2.811
0.35,-2.967
0.36,-3.334
0.37,-3.734
0.38,-4.004
0.39,-4.067
0.4,-3.578
0.41,-3.505
0.42,-3.523
0.43,-3.577
0.44,-3.607
0.45,-3.603
0.46,-3.617
0.47,-3.73
0.48,-4.811
0.49,-5.076
0.5,-5.057
0.51,-4.725
0.52,-4.179
0.53,-3.619
0.54,-3.257
0.55,-3.239
0.56,-4.844
0.57,-5.362
0.58,-5.568
0.59,-5.372
0.6,-4.783
0.61,-3.91
0.62,-2.943
0.63,-2.108
0.64,-1.926
0.65,-2.561
0.66,-3.244
0.67,-3.783
0.68,-4.079
0.69,-4.144
0.7,-4.057
0.71,-3.909
0.72,-3.601
0.73,-3.69
0.74,-3.96
0.75,-4.396
0.76,-4.884
0.77,-5.241
0.78,-5.304
0.79,-5.035
0.8,-3.96
0.81,-4.084
0.82,-4.372
0.83,-4.586
0.84,-4.545
0.85,-4.238
0.86,-3.825
0.87,-3.52
0.88,-3.65
0.89,-3.616
0.9,-3.429
0.91,-3.234
0.92,-3.229
0.93,-3.515
0.94,-4.007
0.95,-4.469
0.96,-4.067
0.97,-3.651
0.98,-3.487
0.99,-3.672
1,-4.112
1.01,-4.599
1.02,-4.927
1.03,-5.004
1.04,-4.344
1.05,-4.121
1.06,-3.951
1.07,-3.843
1.08,-3.824
1.09,-3.93
1.1,-4.165
1.11,-4.469
1.12,-4.803
1.13,-4.589
1.14,-4.316
1.15,-4.077
1.16,-3.917
1.17,-3.83
1.18,-3.787
1.19,-3.786
1.2,-4.298
1.21,-4.568
1.22,-4.716
1.23,-4.648
1.24,-4.372
1.25,-4.012
1.26,-3.746
1.27,-3.696
1.28,-4.114
1.29,-3.898
1.3,-3.441
1.31,-2.929
1.32,-2.598
