t,acc
0,-12.3
0.02,0.1
0.04,-0.4
0.06,3
0.08,4.1
0.1,2.1
0.12,1.9
0.14,3.6
0.16,-1.6
0.18,-6.1
0.2,-2.2
0.22,2.5
0.24,3.3
0.26,-0.3
0.28,0.2
0.3,1.5
0.32,3.5
0.34,2.8
0.36,1.4
0.38,-5.7
0.4,-11.2
0.42,-13.4
0.44,-11.7
0.46,-8.3
0.48,-2.1
0.5,5.7
0.52,5.8
0.54,4.6
0.56,4.1
0.58,4.7
0.6,6.7
0.62,14.5
0.64,19.2
0.66,20.4
0.68,14.6
0.7,4.3
0.72,-7.6
0.74,-13.2
0.76,-7.5
0.78,-1.6
0.8,4
0.82,4.7
0.84,1.8
0.86,-1.6
0.88,-8.5
0.9,-9.1
0.92,-4.7
0.94,0.7
0.96,5.2
0.98,2
1,-4
1.02,-3.7
1.04,-2.9
1.06,-4.6
1.08,-4.1
1.1,-2.5
1.12,-2.9
1.14,-6.4
1.16,-9.8
1.18,-7
1.2,-2.5
1.22,5.5
1.24,7.7
1.26,2.6
1.28,-1.8
1.3,-3.5
1.32,-2.4
1.34,9
1.36,17.5
1.38,13.7
1.4,4
1.42,-6.9
1.44,-17.3
1.46,-18.6
1.48,-14.5
1.5,-6.3
1.52,6.9
1.54,5.8
1.56,-6.2
1.58,-21
1.6,-22.6
1.62,-10.3
1.64,3.5
1.66,15.2
1.68,18.8
1.7,19.5
1.72,18
1.74,8.1
1.76,-2.5
1.78,-8.8
1.8,-14.7
1.82,-14.4
1.84,-11.4
1.86,-3.8
1.88,4.1
1.9,13.3
1.92,15.6
1.94,7.4
1.96,-1
1.98,-12
2,-14.2
2.02,-4.8
2.04,7.7
2.06,15
2.08,6.3
2.1,-7.3
2.12,-22.1
2.14,-38.3
2.16,-41.1
2.18,-28.2
2.2,-14.3
2.22,1.4
2.24,15.2
2.26,16.4
2.28,10.6
2.3,8.1
2.32,9.1
2.34,7.1
2.36,0.1
2.38,5.9
2.4,16.1
2.42,29.9
2.44,31.3
2.46,16.6
2.48,-1.4
2.5,-12.6
2.52,-8.9
2.54,-4.1
2.56,-7.6
2.58,-9.9
2.6,-7.1
2.62,-0.6
2.64,8.2
2.66,10.9
2.68,12.2
2.7,9.3
2.72,0.2
2.74,-13.4
2.76,-13
2.78,-11.1
2.8,-18.4
2.82,-26.9
2.84,-27.2
2.86,-22.7
2.88,-24.2
2.9,-29.9
2.92,-36.8
2.94,-33.1
2.96,-24
2.98,-14.5
3,-10.2
3.02,-7.8
3.04,-8.2
3.06,-17.4
3.08,-27.3
3.1,-37.3
3.12,-41.9
3.14,-40.1
3.16,-39.3
3.18,-36.3
3.2,-32.8
3.22,-30.7
3.24,-30.2
3.26,-27.5
3.28,-21.4
3.3,-24.2
3.32,-32.8
3.34,-44.5
3.36,-54.3
3.38,-36.7
3.4,-5.1
3.42,27.2
3.44,60.5
3.46,62
3.48,42.4
3.5,20
3.52,-3.8
3.54,-25.6
3.56,-20.8
3.58,-1.5
3.6,19.6
3.62,41.6
3.64,63.4
3.66,85
3.68,107.5
3.7,123.8
3.72,113.2
3.74,94.7
3.76,74.1
3.78,57.5
3.8,52.4
3.82,40.1
3.84,21.7
3.86,15.2
3.88,10
3.9,-8.6
3.92,-9.4
3.94,13.3
3.96,35.2
3.98,26.7
4,2.2
4.02,-25.1
4.04,-43.6
4.06,-25.9
4.08,1.8
4.1,26.7
4.12,3.9
4.14,-35.2
4.16,-76.4
4.18,-118.6
4.2,-114.7
4.22,-74.4
4.24,-29.7
4.26,7.6
4.28,1.3
4.3,-8.4
4.32,-12.8
4.34,-8.1
4.36,10.8
4.38,32.5
4.4,31.8
4.42,24.6
4.44,36.2
4.46,58.9
4.48,72.3
4.5,58.6
4.52,39.7
4.54,17.5
4.56,-2.4
4.58,-25.6
4.6,-35.9
4.62,-24.5
4.64,-6.6
4.66,-2.4
4.68,-13.8
4.7,-23.3
4.72,-24.9
4.74,-32.2
4.76,-47.7
4.78,-57
4.8,-44.3
4.82,-25
4.84,-4.4
4.86,16.6
4.88,36.9
4.9,57.9
4.92,58.4
4.94,39.4
4.96,19.7
4.98,-3.2
5,-19.8
5.02,-25.7
5.04,-25.7
5.06,-22.8
5.08,-3.5
5.1,8.2
5.12,2.1
5.14,-5.6
5.16,-4.2
5.18,4.1
5.2,2.4
5.22,-6.7
5.24,-8.6
5.26,-7.8
5.28,-13.3
5.3,-13.1
5.32,-8.1
5.34,-8.8
5.36,-5.1
5.38,19.5
5.4,47.8
5.42,76.2
5.44,73.1
5.46,56.8
5.48,37.7
5.5,18.6
5.52,-1.2
5.54,-15.3
5.56,2
5.58,9.1
5.6,-16.2
5.62,-47.4
5.64,-77.5
5.66,-56.4
5.68,-3.4
5.7,25
5.72,-6.3
5.74,-42.3
5.76,-66.7
5.78,-80.7
5.8,-57.7
5.82,-24.4
5.84,12.9
5.86,23.8
5.88,6.5
5.9,-11.8
5.92,-35.1
5.94,-45.3
5.96,-31.1
5.98,-8.5
6,2.3
6.02,-15.5
6.04,-36.1
6.06,-27.2
6.08,1
6.1,29.5
6.12,62
6.14,78.8
6.16,77.1
6.18,74.5
6.2,73.9
6.22,75.9
6.24,63.8
6.26,43.3
6.28,20.7
6.3,-1.1
6.32,-25.4
6.34,-30.2
6.36,0.6
6.38,19.7
6.4,19.4
6.42,14.9
6.44,14.9
6.46,31.3
6.48,49.5
6.5,70.6
6.52,60.1
6.54,22
6.56,-19
6.58,-61.9
6.6,-105.2
6.62,-137.7
6.64,-127.6
6.66,-107.1
6.68,-84.1
6.7,-81.4
6.72,-92.1
6.74,-93.6
6.76,-67.8
6.78,-36.2
6.8,-2.2
6.82,31.3
6.84,65
6.86,98.1
6.88,103.5
6.9,84.9
6.92,65
6.94,43.9
6.96,51.1
6.98,72.2
7,91
7.02,77.8
7.04,55.3
7.06,30
7.08,5.4
7.1,-20.3
7.12,-44.5
7.14,-71.1
7.16,-85.8
7.18,-86.3
7.2,-85.3
7.22,-65.8
7.24,-31.4
7.26,3.2
7.28,40.9
7.3,55.4
7.32,47.6
7.34,37.8
7.36,25.8
7.38,15
7.4,3.3
7.42,-1.7
7.44,-5
7.46,-18.3
7.48,-38.4
7.5,-44.5
7.52,-25.2
7.54,-11.7
7.56,-20.5
7.58,-25.4
7.6,-13.8
7.62,0.7
7.64,16.4
7.66,22.1
7.68,20.3
7.7,21.4
7.72,21.5
7.74,9.6
7.76,-5.7
7.78,-7.6
7.8,12.9
7.82,18.5
7.84,0.9
7.86,-24.1
7.88,-47.9
7.9,-74.8
7.92,-60.2
7.94,-12
7.96,43.3
7.98,77.3
8,74.3
8.02,69.1
8.04,59.4
8.06,50.9
8.08,27.6
8.1,2.2
8.12,-26
8.14,-52.1
8.16,-81.4
8.18,-72.3
8.2,-9.7
8.22,18.2
8.24,4.9
8.26,-16.7
8.28,-24.5
8.3,-3.9
8.32,19.6
8.34,45.8
8.36,72.1
8.38,85.8
8.4,67.7
8.42,45.7
8.44,19.3
8.46,-4.5
8.48,-30.6
8.5,-41.6
8.52,-41.4
8.54,-58.6
8.56,-78.2
8.58,-51.2
8.6,-11.9
8.62,28.6
8.64,28.7
8.66,10.6
8.68,-9.7
8.7,-33
8.72,-39.3
8.74,-10.8
8.76,25.8
8.78,51.2
8.8,31.1
8.82,2.9
8.84,-31.9
8.86,-52.3
8.88,-41.7
8.9,-45.4
8.92,-76.5
8.94,-78.8
8.96,-33
8.98,-7.6
9,5.8
9.02,33.7
9.04,71.1
9.06,106.1
9.08,148
9.1,152.7
9.12,112.4
9.14,67.8
9.16,20.1
9.18,-28.7
9.2,-55.8
9.22,-37.5
9.24,-14.4
9.26,14.6
9.28,20.9
9.3,9.4
9.32,2.3
9.34,16.5
9.36,36.2
9.38,55
9.4,50.3
9.42,38.4
9.44,38.4
9.46,28.7
9.48,-4.5
9.5,-40.1
9.52,-75.7
9.54,-75.1
9.56,-62.7
