t,acc
0,-1.4
0.02,-10.8
0.04,-10.1
0.06,-8.8
0.08,-9.5
0.1,-12
0.12,-14.2
0.14,-12.8
0.16,-11
0.18,-8.5
0.2,-8.5
0.22,-13.1
0.24,-17.6
0.26,-19.4
0.28,-16.2
0.3,-14.4
0.32,-10.8
0.34,-8.2
0.36,-4.2
0.38,-6.6
0.4,-13.1
0.42,-19
0.44,-19.6
0.46,-6.6
0.48,3
0.5,14.1
0.52,-4.9
0.54,-12.8
0.56,-14.4
0.58,-20.3
0.6,-26
0.62,-32.5
0.64,-30.6
0.66,-17.2
0.68,-19.7
0.7,-16.3
0.72,-16.4
0.74,-6.7
0.76,2.5
0.78,15
0.8,23.6
0.82,25.2
0.84,33.6
0.86,46.3
0.88,49.2
0.9,41.9
0.92,35.9
0.94,27.1
0.96,23.5
0.98,33.9
1,41.2
1.02,53
1.04,63.9
1.06,73.2
1.08,65.2
1.1,59.9
1.12,40
1.14,40
1.16,6.3
1.18,-51.5
1.2,-78.7
1.22,-60.3
1.24,-48.4
1.26,-25
1.28,-5.9
1.3,13.4
1.32,30.8
1.34,49.9
1.36,71
1.38,99.5
1.4,121.9
1.42,152.9
1.44,144.9
1.46,115.5
1.48,93.5
1.5,89.2
1.52,92.6
1.54,83.9
1.56,90.1
1.58,99.3
1.6,120.9
1.62,32.8
1.64,-147.5
1.66,-206.6
1.68,-198.9
1.7,-203.4
1.72,-181.6
1.74,-172.5
1.76,-175.2
1.78,-175.3
1.8,-180.5
1.82,-163
1.84,-134.7
1.86,-108.7
1.88,-78.2
1.9,-42.9
1.92,-1.7
1.94,36
1.96,78.5
1.98,116.4
2,159.8
2.02,196
2.04,241.2
2.06,272.9
2.08,303.6
2.1,320
2.12,341.7
2.14,282.1
2.16,232.4
2.18,-119.8
2.2,-237.3
2.22,-164
2.24,-186.5
2.26,-109.5
2.28,-75.3
2.3,-17.3
2.32,11.3
2.34,53.3
2.36,89.5
2.38,118.6
2.4,175.7
2.42,57.6
2.44,-263.1
2.46,-154.7
